oid,NZGD ID,NZTM Easting,NZTM Northing,year
CPT-KGA-02,1356.0,1573150.49,5194129.95,2010
CPT-KRB-02,1358.0,1575952.34,5196255.05,2010
CPT-KRB-03,1359.0,1575951.34,5196542.94,2010
CPT-MRV-01,1397.0,1568833.95,5181086.57,2010
CPT-NBT-06,1424.0,1576518.73,5183170.57,2010
CPT-NBT-07,152.0,1566700.95,5185625.14,2010
CPT-PIN-04,1501.0,1575778.41,5197255.67,2010
CPT-PIN-05,1502.0,1575788.41,5197346.64,2010
CPT-PIN-07,1504.0,1575914.36,5197211.69,2010
CPT-PIN-08,1505.0,1575876.38,5197119.73,2010
CPT-PIN-11,1508.0,1575805.41,5197646.53,2010
CPT-PRK-04,508.0,1575168.5,5186048.65,2010
CPT-PRK-05,509.0,1575593.44,5186064.8,2010
CPT-PRK-06,510.0,1575747.58,5186099.93,2010
CPT-PRK-07,511.0,1575631.11,5185816.64,2010
CPT-PRK-08,512.0,1575500.99,5185607.89,2010
CPT-PRK-09,513.0,1575265.42,5185760.71,2010
CPT-RCH-02,514.0,1572865.64,5181491.38,2010
CPT-RCH-03,515.0,1572590.18,5181552.59,2010
CPT-RCH-05,517.0,1572719.54,5181738.81,2010
CPT-RCH-08,520.0,1573065.25,5182005.35,2010
CPT-RCH-10,522.0,1572864.59,5182049.44,2010
CPT-RCH-11,523.0,1573120.86,5182129.94,2010
CPT-RCH-12,524.0,1572976.14,5181931.23,2010
CPT-RCH-13,525.0,1573164.99,5182028.45,2010
CPT-RCH-16,528.0,1573297.93,5182035.91,2010
CPT-RCH-17,529.0,1572767.08,5181960.41,2010
CPT-RCH-22,534.0,1572318.45,5181928.27,2010
CPT-RCH-25,537.0,1572077.56,5181993.76,2010
CPT-RCH-26,538.0,1572418.4,5181737.54,2010
CPT-RCH-29,541.0,1572870.66,5181472.99,2010
CPT-RCH-30,542.0,1572946.48,5181892.91,2010
CPT-RCH-31,543.0,1573113.49,5182019.79,2010
CPT-RWD-01,586.0,1568623.91,5185741.11,2010
CPT-RWD-02,587.0,1568860.76,5185983.45,2010
CPT-RWD-03,588.0,1568876.94,5186224.5,2010
CPT-RWD-04,589.0,1568715.5,5186461.64,2010
CPT-RWD-05,590.0,1568631.0,5186845.49,2010
CPT-RWD-09,594.0,1568947.61,5186782.44,2010
CPT-RWD-10,595.0,1569000.21,5186571.94,2010
CPT-RWD-13,598.0,1569882.58,5186450.23,2010
CPT-SNB-01F,658.0,1577949.58,5181057.12,2010
CPT-SPE-08,674.0,1575204.27,5191263.01,2010
CPT-SPE-14,680.0,1575279.61,5191337.34,2010
CPT-SPE-15,681.0,1575553.79,5191384.08,2010
CPT-SSH-03,711.0,1579690.17,5177406.34,2010
CPT-SSH-04,712.0,1579793.84,5177426.62,2010
CPT-SSH-05,713.0,1579719.27,5177761.79,2010
CPT-SSH-06,714.0,1579731.66,5177889.54,2010
CPT-SSH-07,715.0,1579488.62,5178164.32,2010
CPT-SSH-08,716.0,1579343.52,5178507.52,2010
CPT-STA-01,719.0,1571698.5,5182102.57,2010
CPT-STA-02,720.0,1571401.05,5181995.76,2010
CPT-STA-06,724.0,1571130.95,5181725.2,2010
CPT-STA-08,726.0,1571253.37,5182332.81,2010
CPT-STA-10,728.0,1570993.5,5181548.64,2010
CPT-STA-13,731.0,1570459.24,5182788.65,2010
CPT-WAI-05,1422.0,1576119.45,5183470.24,2010
CPT-WAI-06,847.0,1574013.57,5181311.39,2010
CPT-WAI-10,851.0,1574232.54,5181638.12,2010
CPT-WAI-12,853.0,1574366.24,5182039.67,2010
CPT-WAI-14,855.0,1574397.94,5182176.09,2010
CPT-WAI-15,856.0,1574428.8,5182289.35,2010
CPT-WAI-16,857.0,1574418.14,5182474.4,2010
CPT-WAI-17,858.0,1574680.57,5181748.48,2010
CPT-WAI-18,859.0,1573833.99,5181516.69,2010
CPT-WAI-20,861.0,1573868.13,5181592.79,2010
CPT-WAI-24,864.0,1574382.68,5182120.77,2010
CPT-WAI-27,867.0,1574433.46,5182346.09,2010
CPT-WAI-28,868.0,1574433.17,5182418.8,2010
CPT-WKK-02,29268.0,1563854.0,5175078.0,2010
CPT-WTH-01,988.0,1571633.18,5177589.09,2010
